Abbau|NN	-0.058	Abbaus,Abbaues,Abbauen,Abbaue
Ungeschicklichkeit|NN	-0.3116	Ungeschicklichkeiten
Unglaubwürdigkeit|NN	-0.0048
Ungleichheit|NN	-0.0048	Ungleichheiten
Unglück|NN	-0.5004	Unglückes,Unglücks,Unglücke,Unglücken
Unheilbarkeit|NN	-0.0048
Unhöflichkeit|NN	-0.0048	Unhöflichkeiten
Unklarheit|NN	-0.0048	Unklarheiten
Unmenschlichkeit|NN	-0.0048	Unmenschlichkeiten
Unmoral|NN	-0.3172
Unmut|NN	-0.3394	Unmutes,Unmuts
Unordnung|NN	-0.3391	Unordnungen
Unrecht|NN	-0.5086	Unrechtes,Unrechts
Unregelmäßigkeit|NN	-0.0048	Unregelmäßigkeiten
Unrentabilität|NN	-0.0048
Unruhe|NN	-0.201
Unsicherheit|NN	-0.358	Unsicherheiten
Unsinn|NN	-0.4969	Unsinnes,Unsinns
Unstetigkeit|NN	-0.3075	Unstetigkeiten
Unstimmigkeit|NN	-0.0048	Unstimmigkeiten
Unterbrechung|NN	-0.0048	Unterbrechungen
Unterdrückung|NN	-0.0048	Unterdrückungen
Untergang|NN	-0.3498	Untergangs,Untergängen,Unterganges,Untergänge
Unterlassung|NN	-0.0048	Unterlassungen
Unterwerfung|NN	-0.3279	Unterwerfungen
Untreue|NN	-0.3293
Unverantwortlichkeit|NN	-0.3068
Unvereinbarkeit|NN	-0.0048	Unvereinbarkeiten
Unverhältnismäßigkeit|NN	-0.0048
Unverschämtheit|NN	-0.0048	Unverschämtheiten
Unvollkommenheit|NN	-0.0048	Unvollkommenheiten
Unvollständigkeit|NN	-0.0048
Unwahrheit|NN	-0.466	Unwahrheiten
Unwirksamkeit|NN	-0.0048
Unwirtschaftlichkeit|NN	-0.0048
Unwissenheit|NN	-0.4935
Unzufriedenheit|NN	-0.6324
Unzumutbarkeit|NN	-0.0048	Unzumutbarkeiten
Unzuverlässigkeit|NN	-0.0048
Vagheit|NN	-0.0048	Vagheiten
Verachtung|NN	-0.3308
Verbannung|NN	-0.0048	Verbannungen
Verbot|NN	-0.0048	Verbots,Verbotes,Verboten,Verbote
Verdacht|NN	-0.8074	Verdachts,Verdachte,Verdachten,Verdachtes
Verdorbenheit|NN	-0.0048
Verdrängung|NN	-0.0048	Verdrängungen
Verdächtige|NN	-0.0048
Verfall|NN	-0.0048	Verfalles,Verfalls
Verfehlung|NN	-0.0048	Verfehlungen
Vergeltung|NN	-0.3369	Vergeltungen
Vergeltungsmaßnahme|NN	-0.0048	Vergeltungsmaßnahmen
Vergeudung|NN	-0.0048	Vergeudungen
Verherrlichung|NN	-0.0048
Verhängnis|NN	-0.0048	Verhängnisses,Verhängnissen,Verhängnise,Verhängnisen,Verhängnises,Verhängnisse,Verhängniss
Verkleinerung|NN	-0.0048	Verkleinerungen
Verlangsamung|NN	-0.0048	Verlangsamungen
Verletzung|NN	-0.5032	Verletzungen
Verleumdung|NN	-0.4792	Verleumdungen
Verlierer|NN	-0.3441	Verlierern,Verlierers
Verlust|NN	-0.5204
Vermeidung|NN	-0.0048	Vermeidungen
Verminderung|NN	-0.0048	Verminderungen
Vernachlässigung|NN	-0.328	Vernachlässigungen
Vernichtung|NN	-0.4883	Vernichtungen
Verrat|NN	-0.0048	Verrats,Verraten,Verrate,Verrates
Verräter|NN	-0.3352	Verräters,Verrätern
Verrückter|NN	-0.0447
Verrücktheit|NN	-0.0048	Verrücktheiten
Versagen|NN	-0.3517
Verschlechterung|NN	-0.4959	Verschlechterungen
Verschmutzung|NN	-0.3392	Verschmutzungen
Verschwendung|NN	-0.0048	Verschwendungen
Verschwörung|NN	-0.3355	Verschwörungen
Versenkung|NN	-0.0048	Versenkungen
Versklavung|NN	-0.0048	Versklavungen
Verstoß|NN	-0.0048	Verstoßes,Verstöße,Verstößen,Verstoßs
Verstrickung|NN	-0.0048	Verstrickungen
Versuchung|NN	-0.3463	Versuchungen
Versäumnis|NN	-0.0048	Versäumniss,Versäumnise,Versäumnises,Versäumnisen
Vertreibung|NN	-0.0048	Vertreibungen
Verurteilung|NN	-0.0048	Verurteilungen
Verweigerung|NN	-0.3441	Verweigerungen
Verwerfung|NN	-0.3202	Verwerfungen
Verwirrung|NN	-0.3323	Verwirrungen
Verwundung|NN	-0.0048	Verwundungen
Verwüstung|NN	-0.0048	Verwüstungen
Verzerrung|NN	-0.0048	Verzerrungen
Verzicht|NN	-0.2022	Verzichts,Verzichtes,Verzichten,Verzichte
Verzweiflung|NN	-0.0048	Verzweiflungen
Verzögerung|NN	-0.0048	Verzögerungen
Vorurteil|NN	-0.6261	Vorurteils,Vorurteilen,Vorurteile
Vorwand|NN	-0.0048	Vorwände,Vorwandes,Vorwands,Vorwänden
Vorwurf|NN	-0.5095	Vorwürfen,Vorwurfs,Vorwürfe,Vorwurfes
Wahnsinn|NN	-0.0048	Wahnsinns
Wermutstropfen|NN	-0.3356	Wermutstropfens
Wertlosigkeit|NN	-0.0048
Wertverlust|NN	-0.0048	Wertverluste,Wertverlustes,Wertverlusts,Wertverlusten
Wichtigtuer|NN	-0.0048	Wichtigtuers,Wichtigtuern
Widernatürlichkeit|NN	-0.0048	Widernatürlichkeiten
Widerruf|NN	-0.0048	Widerrufs
Widerspruch|NN	-0.3655	Widersprüche,Widersprüchen,Widerspruchs,Widerspruches
Widrigkeit|NN	-0.0048	Widrigkeiten
Wirtschaftskrise|NN	-0.0048	Wirtschaftskrisen
Wrack|NN	-0.0048	Wracks
Wunde|NN	-0.3396	Wunden
Wut|NN	-0.4726
Wüste|NN	-0.0048	Wüsten
Zahlungsunfähigkeit|NN	-0.0048	Zahlungsunfähigkeiten
Zeitverschwendung|NN	-0.3223	Zeitverschwendungen
Zensur|NN	-0.3468	Zensuren
Zerrung|NN	-0.0048	Zerrungen
Zerschlagung|NN	-0.0048	Zerschlagungen
Zerstörung|NN	-0.3578	Zerstörungen
Ziellosigkeit|NN	-0.0048
Zoll|NN	-0.0048	Zolls,Zölle,Zolln,Zolles,Zöllen
Zorn|NN	-0.3537
Zumutung|NN	-0.3286	Zumutungen
Zusammenbruch|NN	-0.0048	Zusammenbrüche,Zusammenbruchs,Zusammenbruches,Zusammenbrüchen
Zusammenstoß|NN	-0.3302	Zusammenstoßes,Zusammenstöße,Zusammenstoßs,Zusammenstößen
Zwang|NN	-0.0721	Zwanges,Zwängen,Zwänge,Zwangs
Zwangslage|NN	-0.0048	Zwangslagen
Zwangsmaßnahmen|NN	-0.0048
Zweifel|NN	-0.0048
Zwietracht|NN	-0.0048
abbauen|VVINF	-0.0578
abbrechen|VVINF	-0.3482
abdanken|VVINF	-0.0048	abgedankt,abdanke,abdankte,abdank,abdankt,abdanktet,abdankest,abdankst,abdanktest,abdankten,abdanket
abdämpfen|VVINF	-0.0048
abfallen|VVINF	-0.0048
abfällig|ADJX	-0.3197	abfälligstes,abfälligster,abfälligste,abfälligsten,abfälligst,abfälligstem,abfällige,abfälligerer,abfälliger,abfälligere,abfälliges,abfälligeren,abfälligerem,abfälligen,abfälligem,abfälligeres
abführen|VVINF	-0.3358	abführtet,abführt,abführst,abführe,abführte,abführet,abführ,abgeführt,abführtest,abführten,abführest
abgebrochen|ADJX	-0.0048
abgedroschen|ADJX	-0.1839	abgedroschner,abgedroschenste,abgedroschenem,abgedroscheneres,abgedroschenst,abgedroschenerer,abgedroschener,abgedroschenes,abgedroschenerem,abgedroscheneren,abgedroschneren,abgedroschenen,abgedroschnerem,abgedroschneres,abgedroschnerer,abgedroschensten,abgedroschenere,abgedroschenstem,abgedroschenstes,abgedroschenster,abgedroschnere,abgedroschene
abgestanden|ADJX	-0.0368	abgestandnerer,abgestandneres,abgestandenen,abgestandenem,abgestandenes,abgestandener,abgestandenstes,abgestandenere,abgestandenster,abgestandenstem,abgestandensten,abgestandenste,abgestandnere,abgestandene,abgestandeneren,abgestandenerem,abgestandenst,abgestandneren,abgestandeneres,abgestandnerem,abgestandenerer,abgestandner
abgetakelt|ADJX	-0.0048	abgetakeltstem,abgetakeltere,abgetakeltste,abgetakeltsten,abgetakeltstes,abgetakeltster,abgetakelten,abgetakelteren,abgetakeltem,abgetakeltst,abgetakelte,abgetakelterem,abgetakeltes,abgetakelter,abgetakelterer,abgetakelteres
abgleiten|VVINF	-0.0397
abgründig|ADJX	-0.1719	abgründiger,abgründiges,abgründigst,abgründigste,abgründigstem,abgründige,abgründigeres,abgründigsten,abgründigerer,abgründigerem,abgründigeren,abgründigster,abgründigstes,abgründigen,abgründigem,abgründigere
abhängig|ADJX	-0.0048	abhängigstem,abhängigsten,abhängiges,abhängiger,abhängigere,abhängigem,abhängigen,abhängigste,abhängigerer,abhängigeres,abhängigster,abhängigstes,abhängigerem,abhängige,abhängigeren,abhängigst
ablaufen|VVINF	-0.0048
ablehnen|VVINF	-0.6458	ablehn,ablehntest,ablehnten,ablehnest,ablehnet,ablehntet,ablehnst,ablehnte,ablehnt,ablehne,abgelehnt
ablenken|VVINF	-0.042	ablenket,ablenkten,abgelenkt,ablenke,ablenkte,ablenkt,ablenktet,ablenkst,ablenkest,ablenk,ablenktest
abnehmen|VVINF	-0.0292
abnutzen|VVINF	-0.0417	abnutzten,abgenutzt,abnutzte,abnutze,abnutztest,abnutzt,abnutz,abnutztet,abnutzet,abnutzest
abraten|VVINF	-0.3353
abreissen|VVINF	-0.3116
abrupt|ADJX	-0.0048	abruptestes,abruptester,abrupteste,abruptesten,abruptestem,abrupte,abrupteren,abrupterem,abruptest,abrupteres,abrupterer,abrupten,abruptem,abruptere,abruptes,abrupter
abrutschen|VVINF	-0.0048
abschaffen|VVINF	-0.0048
abschießen|VVINF	-0.0048
abschrecken|VVINF	-0.178	abschrecket,abschreck,abschreckest,abschreckten,abschreckte,abschrecktest,abschreckt,abschrecke,abschreckst,abgeschreckt,abschrecktet
abschreckend|VVINF	-0.049
abschreiben|VVINF	-0.1847
abschwächen|VVINF	-0.0048	abschwächt,abschwäche,abschwächten,abschwächte,abschwäch,abschwächst,abgeschwächt,abschwächtest,abschwächet,abschwächest,abschwächtet
abschätzig|ADJX	-0.0048	abschätzigere,abschätzigeres,abschätzigerer,abschätzigeren,abschätzigem,abschätzigerem,abschätzigstes,abschätzigen,abschätzigst,abschätzige,abschätziger,abschätziges,abschätzigste,abschätzigsten,abschätzigstem,abschätzigster
absenken|VVINF	-0.0048
absinken|VVINF	-0.3269
abspalten|VVINF	-0.3099
absperren|VVINF	-0.0048
absteigen|VVINF	-0.4776
abstoßen|VVINF	-0.1796
abstoßend|ADJX	-0.5859	abstoßendstem,abstoßendsten,abstoßenderer,abstoßendster,abstoßendere,abstoßenderes,abstoßendst,abstoßendstes,abstoßende,abstoßenden,abstoßendem,abstoßendes,abstoßender,abstoßendste,abstoßenderen,abstoßenderem
abstumpfen|VVINF	-0.0048	abstumpf,abstumpfet,abstumpfest,abstumpften,abgestumpft,abstumpftet,abstumpfe,abstumpftest,abstumpfte,abstumpft,abstumpfst
abstürzen|VVINF	-0.4697	abstürztet,abstürzt,abstürze,abstürzte,abstürz,abstürzet,abstürzest,abstürzten,abgestürzt,abstürztest
absurd|ADJX	-0.212	absurdester,absurdestes,absurderer,absurdesten,absurden,absurdem,absurderen,absurderem,absurdestem,absurdere,absurdeste,absurde,absurder,absurdest,absurdes,absurderes
abtragen|VVINF	-0.0048
abweichen|VVINF	-0.3422
abweisen|VVINF	-0.0048
abwerten|VVINF	-0.4521	abwertest,abgewertet,abwerttest,abwertten,abwert,abwertete,abwerteten,abwerte,abwertetet,abwertte,abwerttet,abwertetest,abwertet
achtlos|ADJX	-0.0048	achtloses,achtlosere,achtlosestes,achtlosester,achtlose,achtlosest,achtloseren,achtloseste,achtloseres,achtloserer,achtlosestem,achtlosesten,achtloser,achtlosen,achtlosem,achtloserem
aggressiv|ADJX	-0.4484	aggressivst,aggressiveren,aggressiverem,aggressivster,aggressiverer,aggressiven,aggressivem,aggressivsten,aggressives,aggressivste,aggressiver,aggressivstem,aggressiveres,aggressivstes,aggressivere,aggressive
alarmieren|VVINF	-0.0048	alarmiertest,alarmieret,alarmierten,alarmiere,alarmiertet,alarmier,alarmierest,alarmierst,alarmierte,alarmiert
alkoholisiert|ADJX	-0.0048	alkoholisierten,alkoholisiertem,alkoholisierteste,alkoholisierte,alkoholisiertester,alkoholisiertestes,alkoholisiertes,alkoholisiertest,alkoholisiertesten,alkoholisierter,alkoholisiertestem,alkoholisierterer,alkoholisiertere,alkoholisierteres,alkoholisierteren,alkoholisierterem
alt|ADJX	-0.0048	alte,altem,alten,ältest,alter,altes,älteres,ältester,älterer,älter,ältere,älterem,ältestem,ältesten,älteren,älteste,ältestes
altmodisch|ADJX	-0.0382	altmodische,altmodischstes,altmodischere,altmodischeres,altmodischster,altmodischerer,altmodischstem,altmodischsten,altmodischer,altmodisches,altmodischem,altmodischen,altmodischste,altmodischst,altmodischeren,altmodischerem
amateurhaft|ADJX	-0.4485	amateurhaftes,amateurhaftestes,amateurhafterem,amateurhaftester,amateurhaftem,amateurhaften,amateurhaftestem,amateurhaftesten,amateurhaftest,amateurhafte,amateurhafter,amateurhafteren,amateurhafterer,amateurhaftere,amateurhafteres,amateurhafteste
ambivalent|ADJX	-0.4628	ambivalenterer,ambivalentestem,ambivalentesten,ambivalentem,ambivalenteren,ambivalenterem,ambivalentestes,ambivalentester,ambivalenten,ambivalentes,ambivalenter,ambivalenteste,ambivalenteres,ambivalentest,ambivalente,ambivalentere
androhen|VVINF	-0.0048	angedroht,androhte,androhest,androhtest,androhet,androh,androhst,androhe,androhten,androht,androhtet
anfällig|ADJX	-0.1884	anfällige,anfälligstes,anfälligster,anfälligerem,anfälliges,anfälliger,anfälligeren,anfälligsten,anfälligem,anfälligste,anfälligstem,anfälligen,anfälligeres,anfälligerer,anfälligere,anfälligst
angespannt|ADJX	-0.4744	angespannterer,angespannten,angespannteres,angespanntestem,angespanntesten,angespanntem,angespannteren,angespannte,angespannterem,angespanntester,angespanntestes,angespanntere,angespanntes,angespannter,angespanntest,angespannteste
angestrengt|ADJX	-0.0415	angestrengteste,angestrengtestes,angestrengten,angestrengte,angestrengtem,angestrengtes,angestrengter,angestrengterer,angestrengtester,angestrengteres,angestrengterem,angestrengteren,angestrengtestem,angestrengtesten,angestrengtere,angestrengtest
angetrunken|ADJX	-0.0048	angetrunkenen,angetrunkenem,angetrunkener,angetrunkene,angetrunknerer,angetrunkenst,angetrunkneren,angetrunknerem,angetrunknere,angetrunkenere,angetrunkeneren,angetrunkneres,angetrunkenerer,angetrunkeneres,angetrunkner,angetrunkenste,angetrunkenes,angetrunkenstem,angetrunkenster,angetrunkensten,angetrunkenstes,angetrunkenerem
angreifen|VVINF	-0.0464
anklagen|VVINF	-0.0048	anklagten,anklagtet,anklagest,anklage,angeklagt,anklagt,anklag,anklaget,anklagst,anklagtest,anklagte
anmaßen|VVINF	-0.0048	anmaßtet,anmaßest,anmaßtest,anmaßt,anmaße,anmaßten,angemaßt,anmaß,anmaßet,anmaßte
annullieren|VVINF	-0.3149	annulliertet,annulliert,annulliere,annullierst,annullierte,annullier,annullierest,annulliertest,annullierten,annullieret
anschießen|VVINF	-0.0048
anspannen|VVINF	-0.0444	anspannte,anspannt,anspanne,anspannten,anspann,angespannt,anspanntet,anspanntest,anspannst,anspannet,anspannest
anstrengen|VVINF	-0.0048	anstrengtet,anstrengest,anstrenget,angestrengt,anstrengtest,anstreng,anstrengte,anstrengten,anstrengt,anstrengst,anstrenge
anstrengend|ADJX	-0.0048	anstrengendem,anstrengendsten,anstrengenden,anstrengenderes,anstrengendstem,anstrengenderer,anstrengendster,anstrengendes,anstrengender,anstrengendste,anstrengenderen,anstrengenderem,anstrengendere,anstrengende,anstrengendstes,anstrengendst
anstößig|ADJX	-0.0048	anstößigst,anstößigster,anstößigerer,anstößigstes,anstößigerem,anstößigeren,anstößigste,anstößiger,anstößiges,anstößigere,anstößigen,anstößigem,anstößigsten,anstößigeres,anstößigstem,anstößige
antiquiert|ADJX	-0.0048	antiquiertes,antiquiertere,antiquierter,antiquiertestem,antiquiertesten,antiquiertester,antiquierterem,antiquiertestes,antiquierteren,antiquierteres,antiquierte,antiquierterer,antiquierteste,antiquierten,antiquiertem,antiquiertest
anzünden|VVINF	-0.3333
apathisch|ADJX	-0.3252	apathischerem,apathischeren,apathischste,apathischerer,apathischem,apathischster,apathischen,apathischst,apathischstes,apathischstem,apathischsten,apathischer,apathischere,apathischeres,apathisches,apathische
apokalyptisch|ADJX	-0.0048	apokalyptischeren,apokalyptischen,apokalyptischerem,apokalyptischst,apokalyptischem,apokalyptischstes,apokalyptischster,apokalyptischsten,apokalyptisches,apokalyptischstem,apokalyptischer,apokalyptischere,apokalyptischste,apokalyptische,apokalyptischerer,apokalyptischeres
arbeitslos|ADJX	-0.3426	arbeitslosere,arbeitslose,arbeitslosst,arbeitsloserer,arbeitsloseres,arbeitsloserem,arbeitsloseren,arbeitslosste,arbeitsloses,arbeitsloser,arbeitslosster,arbeitslosstes,arbeitslossten,arbeitslosstem,arbeitslosem,arbeitslosen
archaisch|ADJX	-0.0048	archaische,archaischstem,archaischst,archaischsten,archaischstes,archaischste,archaischster,archaischeren,archaischeres,archaischerer,archaischere,archaisches,archaischerem,archaischen,archaischem,archaischer
arm|ADJX	-0.4546	ärmst,armem,armen,ärmerer,arme,ärmeres,ärmeren,ärmerem,armes,armer,ärmer,ärmstes,ärmster,ärmste,ärmsten,ärmstem,ärmere
armselig|ADJX	-0.1814	armseligen,armseligem,armselige,armseliges,armseligst,armseliger,armseligste,armseligster,armseligstes,armseligerem,armseligstem,armseligsten,armseligeren,armseligere,armseligerer,armseligeres
arrogant|ADJX	-0.4659	arrogante,arroganteste,arrogantem,arroganten,arrogantestem,arrogantesten,arroganter,arrogantes,arrogantest,arrogantester,arrogantestes,arroganteres,arroganterer,arroganteren,arrogantere,arroganterem
attackieren|VVINF	-0.0048	attackieret,attackiertet,attackierest,attackiertest,attackiere,attackier,attackierten,attackiert,attackierst,attackierte
aufblasen|VVINF	-0.0048
aufblähen|VVINF	-0.0048	aufblähtet,aufblähest,aufbläh,aufbläht,aufblähe,aufgebläht,aufblähte,aufblähet,aufblähst,aufblähtest,aufblähten
aufbringen|VVINF	-0.0048
auffallen|VVINF	-0.3386
aufgeben|VVINF	-0.2098
aufgebracht|ADJX	-0.0048	aufgebrachterem,aufgebrachtest,aufgebrachte,aufgebrachten,aufgebrachtem,aufgebrachteren,aufgebrachtestes,aufgebrachtester,aufgebrachter,aufgebrachteres,aufgebrachterer,aufgebrachtes,aufgebrachtesten,aufgebrachtestem,aufgebrachtere,aufgebrachteste
aufgeregt|ADJX	-0.0048	aufgeregteres,aufgeregterer,aufgeregterem,aufgeregtestes,aufgeregteren,aufgeregtester,aufgeregten,aufgeregtem,aufgeregtere,aufgeregter,aufgeregtest,aufgeregtesten,aufgeregtes,aufgeregtestem,aufgeregte,aufgeregteste
aufhören|VVINF	-0.0142
auflösen|VVINF	-0.0412	auflöstet,auflöst,auflöse,auflöstest,auflöste,auflösten,auflöset,auflös,aufgelöst,auflösest
aufregen|VVINF	-0.0048	aufregt,aufrege,aufregtet,aufregst,aufgeregt,aufregte,aufreget,aufregtest,aufregten,aufreg,aufregest
aufreibend|VVINF	-0.0048
aufrühren|VVINF	-0.0256	aufrühr,aufrührtest,aufrührtet,aufrühret,aufrühre,aufrührten,aufrührte,aufrührt,aufgerührt,aufrührst,aufrührest
aufschlagen|VVINF	-0.04
aufschreien|VVINF	-0.043
aufwühlen|VVINF	-0.0398
ausbeuten|VVINF	-0.3215	ausgebeutet,ausbeutete,ausbeutten,ausbeuttest,ausbeutet,ausbeuteten,ausbeutetest,ausbeutte,ausbeutetet,ausbeutest,ausbeut,ausbeute,ausbeuttet
ausbrechen|VVINF	-0.1819
auseinanderfallen|VVINF	-0.0048
auseinandersetzen|VVINF	-0.0584
ausfallen|VVINF	-0.3481
ausgehungert|ADJX	-0.0048	ausgehungertster,ausgehungertstes,ausgehungertere,ausgehungertes,ausgehungerte,ausgehungerter,ausgehungerten,ausgehungertem,ausgehungerteren,ausgehungertstem,ausgehungertst,ausgehungertsten,ausgehungerterem,ausgehungerterer,ausgehungertste,ausgehungerteres
ausgestorben|ADJX	-0.0389	ausgestorbnerer,ausgestorbenem,ausgestorbnere,ausgestorbenen,ausgestorbner,ausgestorbneren,ausgestorbenere,ausgestorbnerem,ausgestorbener,ausgestorbene,ausgestorbenerer,ausgestorbenes,ausgestorbeneres,ausgestorbeneren,ausgestorbneres,ausgestorbenster,ausgestorbenstes,ausgestorbenst,ausgestorbenerem,ausgestorbenste,ausgestorbenstem,ausgestorbensten
ausgleiten|VVINF	-0.0048
ausgrenzen|VVINF	-0.0048
ausradieren|VVINF	-0.0048	ausradiertet,ausradierest,ausradierten,ausradier,ausradierte,ausradierst,ausradieret,ausradiertest,ausradiert,ausradiere
ausrotten|VVINF	-0.0048	ausrotttet,ausrottten,ausrottest,ausrotttest,ausrott,ausrottet,ausrotteten,ausrottetest,ausgerottet,ausrottetet,ausrotte,ausrottte,ausrottete
ausschalten|VVINF	-0.0048	ausschaltest,ausschaltte,ausschaltet,ausschaltetest,ausschalttet,ausschalt,ausschalttest,ausschaltetet,ausschalte,ausgeschaltet,ausschalteten,ausschaltten,ausschaltete
ausschließen|VVINF	-0.4935
aussetzen|VVINF	-0.3413	aussetz,aussetzte,aussetzest,aussetztet,aussetztest,aussetzten,aussetze,ausgesetzt,aussetzet,aussetzt
aussichtslos|ADJX	-0.183	aussichtslosestem,aussichtslosester,aussichtslosestes,aussichtsloseste,aussichtsloses,aussichtsloser,aussichtslosesten,aussichtsloserem,aussichtsloseren,aussichtslosen,aussichtsloserer,aussichtslosem,aussichtslosere,aussichtsloseres,aussichtslose,aussichtslosest
aussterben|VVINF	-0.0048
banal|ADJX	-0.3166	banaleres,banalerer,banaleren,banalste,banalsten,banalstem,banales,banalst,banaler,banalere,banale,banalerem,banalem,banalen,banalstes,banalster
barbarisch|ADJX	-0.3176	barbarischer,barbarisches,barbarischen,barbarischem,barbarischste,barbarischst,barbarischeren,barbarischerem,barbarischstes,barbarischster,barbarischere,barbarischerer,barbarische,barbarischstem,barbarischsten,barbarischeres
beanstandet|ADJX	-0.333
bedauerlich|ADJX	-0.0551	bedauerlichsten,bedauerlichstem,bedauerlicheres,bedauerlichste,bedauerlicherer,bedauerlicheren,bedauerlichem,bedauerlicherem,bedauerlichen,bedauerliche,bedauerliches,bedauerlicher,bedauerlichstes,bedauerlichster,bedauerlichere,bedauerlichst
bedauern|VVINF	-0.0574
bedauernswert|ADJX	-0.0048	bedauernswerter,bedauernswertes,bedauernswertere,bedauernswerte,bedauernswerten,bedauernswerteren,bedauernswerterem,bedauernswertestem,bedauernswertesten,bedauernswertester,bedauernswertestes,bedauernswertest,bedauernswertem,bedauernswerterer,bedauernswerteres,bedauernswerteste
bedenklich|ADJX	-0.7701	bedenklicherem,bedenkliches,bedenklicher,bedenklicheren,bedenklicheres,bedenklichster,bedenklichstes,bedenklichste,bedenklicherer,bedenkliche,bedenklichst,bedenklichere,bedenklichsten,bedenklichem,bedenklichstem,bedenklichen
bedeppert|ADJX	-0.0048	bedeppertem,bedeppertere,bedepperterem,bedepperteren,bedepperte,bedepperteres,bedepperten,bedepperterer,bedeppertesten,bedepperteste,bedeppertestem,bedeppertest,bedeppertestes,bedeppertester,bedepperter,bedeppertes
bedeutungslos|ADJX	-0.6046	bedeutungsloseste,bedeutungslosesten,bedeutungslosestem,bedeutungsloserem,bedeutungslosester,bedeutungslosere,bedeutungsloseres,bedeutungsloseren,bedeutungsloserer,bedeutungslosest,bedeutungslosestes,bedeutungslose,bedeutungslosen,bedeutungslosem,bedeutungsloser,bedeutungsloses
bedrohen|VVINF	-0.3408	bedrohten,bedroht,bedrohe,bedroh,bedrohet,bedrohtest,bedrohest,bedrohtet,bedrohte,bedrohst
bedrohlich|ADJX	-0.4726	bedrohlichere,bedrohlichst,bedrohlichste,bedrohlicherer,bedrohlicheres,bedrohlicherem,bedrohlicheren,bedrohlicher,bedrohlichstes,bedrohlichster,bedrohliches,bedrohlichen,bedrohlichstem,bedrohlichem,bedrohlichsten,bedrohliche
bedrängen|VVINF	-0.0048	bedräng,bedrängtet,bedränget,bedränge,bedrängten,bedrängest,bedrängtest,bedrängte,bedrängt,bedrängst
bedrücken|VVINF	-0.3123	bedrückten,bedrück,bedrückst,bedrückte,bedrücket,bedrücktet,bedrückest,bedrücktest,bedrückt,bedrücke
bedrückt|VVINF	-0.0494	bedrückteren,bedrückterem,bedrückte,bedrücktester,bedrücktestes,bedrückteres,bedrückterer,bedrückteste,bedrücktest,bedrückten,bedrücktem,bedrücktes,bedrücktestem,bedrückter,bedrücktesten,bedrücktere
bedürftig|ADJX	-0.0048	bedürftigstes,bedürftigen,bedürftigeres,bedürftige,bedürftigerer,bedürftigster,bedürftigeren,bedürftigem,bedürftigerem,bedürftigere,bedürftigst,bedürftiges,bedürftiger,bedürftigsten,bedürftigste,bedürftigstem
beeinträchtigen|ADJX	-0.4979	beeinträchtigten,beeinträchtigest,beeinträchtige,beeinträchtigtest,beeinträchtigt,beeinträchtigst,beeinträchtigte,beeinträchtigtet,beeinträchtiget,beeinträchtig
beenden|VVINF	-0.0603	beendest,beende,beendeten,beendete,beendtet,beendetest,beendte,beendetet,beendtest,beendet,beendten,beend
befallen|VVINF	-0.334
befangen|ADJX	-0.3253	befangeneres,befangenerer,befangnerem,befangneren,befangenst,befangenere,befangeneren,befangenerem,befangenste,befangner,befangenstes,befangenster,befangenstem,befangnere,befangensten,befangnerer,befangenes,befangneres,befangener,befangene,befangenem,befangenen
befremdlich|ADJX	-0.0048	befremdlichen,befremdliches,befremdlicher,befremdlichstes,befremdlichster,befremdlichem,befremdlichsten,befremdlichstem,befremdlicheres,befremdlicherer,befremdlichere,befremdlichst,befremdlichste,befremdliche,befremdlicherem,befremdlicheren
befürchten|VVINF	-0.3602	befürchteten,befürchte,befürchtte,befürchtete,befürchtet,befürchtten,befürcht,befürchtetest,befürchttest,befürchtetet,befürchttet,befürchtest
begrenzen|VVINF	-0.0048	begrenzten,begrenzte,begrenzt,begrenz,begrenztet,begrenze,begrenzest,begrenzet,begrenztest
begrenzt|ADJX	-0.0048	begrenzterer,begrenzte,begrenztestem,begrenztesten,begrenzteres,begrenzteren,begrenztest,begrenzterem,begrenzteste,begrenztem,begrenzten,begrenzter,begrenztes,begrenztere,begrenztestes,begrenztester
begriffsstutzig|ADJX	-0.0048	begriffsstutzigeres,begriffsstutzigere,begriffsstutzigerer,begriffsstutzigste,begriffsstutzigstes,begriffsstutzigster,begriffsstutzigerem,begriffsstutzigsten,begriffsstutzigstem,begriffsstutzige,begriffsstutzigeren,begriffsstutzigem,begriffsstutzigen,begriffsstutzigst,begriffsstutziger,begriffsstutziges
behindern|VVINF	-0.7748	behinderten,behinder,behindertet,behindert,behindere,behindertest,behinderte,behinderen,behinderst
behämmert|ADJX	-0.0376	behämmerterer,behämmerteres,behämmerte,behämmertste,behämmerter,behämmertes,behämmertem,behämmerten,behämmertst,behämmertere,behämmerterem,behämmertstes,behämmertster,behämmerteren,behämmertstem,behämmertsten
beklagen|VVINF	-0.4967	beklagtet,beklagtest,beklaget,beklagest,begeklagt,beklag,beklagten,beklage,beklagt,beklagst,beklagte
beklagenswert|ADJX	-0.0048	beklagenswerterer,beklagenswerte,beklagenswerteres,beklagenswerteren,beklagenswertestem,beklagenswertesten,beklagenswertem,beklagenswerten,beklagenswerterem,beklagenswertes,beklagenswerter,beklagenswertest,beklagenswerteste,beklagenswertere,beklagenswertester,beklagenswertestes
