Abmachung|NN	0.0040	Abmachungen
allererste|ADJX	0.0040	allerersteere,allererstestem,allererstesten,allererstest,allerersteeres,allerersteerer,allererstester,allererstestes,allerersteen,allerersteem,allerersteer,allererstee,allererstees,allerersteerem,allerersteeren,allerersteste
allgemeingültig|ADJX	0.0040	allgemeingültige,allgemeingültigerer,allgemeingültigeres,allgemeingültigem,allgemeingültigen,allgemeingültiger,allgemeingültigst,allgemeingültiges,allgemeingültigster,allgemeingültigere,allgemeingültigstes,allgemeingültigsten,allgemeingültigstem,allgemeingültigeren,allgemeingültigerem,allgemeingültigste
allumfassend|ADJX	0.0040	allumfassendsten,allumfassendstem,allumfassendster,allumfassenderer,allumfassendste,allumfassendstes,allumfassenderes,allumfassender,allumfassendes,allumfassenden,allumfassendst,allumfassendere,allumfassendem,allumfassende,allumfassenderem,allumfassenderen
anbieten|VVINF	0.0040
anerkannt|ADJX	0.0785	anerkanntest,anerkannteren,anerkannterem,anerkannteres,anerkannterer,anerkanntester,anerkannter,anerkanntes,anerkanntestem,anerkanntesten,anerkannten,anerkannte,anerkanntem,anerkanntere,anerkanntestes,anerkannteste
anerkennen|VVINF	0.0040
anerkennenswert|ADJX	0.0040	anerkennenswertest,anerkennenswertesten,anerkennenswerterem,anerkennenswertestem,anerkennenswertes,anerkennenswertester,anerkennenswerter,anerkennenswertestes,anerkennenswertere,anerkennenswerteren,anerkennenswertem,anerkennenswerterer,anerkennenswerteste,anerkennenswerten,anerkennenswerteres,anerkennenswerte
angemessen|ADJX	0.0040	angemessnerer,angemessenere,angemessneres,angemessneren,angemessenes,angemessnerem,angemessener,angemessene,angemessenem,angemessenen,angemesseneren,angemessenerem,angemesseneres,angemessenerer,angemessenstem,angemessensten,angemessner,angemessenster,angemessenst,angemessenstes,angemessenste,angemessnere
angenehm|ADJX	0.4887	angenehmes,angenehmer,angenehmeres,angenehmerer,angenehmst,angenehmen,angenehmstem,angenehmsten,angenehmere,angenehmstes,angenehme,angenehmster,angenehmste,angenehmem,angenehmerem,angenehmeren
angesehen|ADJX	0.0040	angesehnerem,angesehensten,angesehneren,angesehene,angeseheneren,angesehenerem,angesehenstem,angeseheneres,angesehnerer,angesehenerer,angesehneres,angesehenen,angesehenem,angesehnere,angesehenere,angesehenes,angesehener,angesehner,angesehenste,angesehenst,angesehenstes,angesehenster
anheben|VVINF	0.0040
anheitern|VVINF	0.0040
ankurbeln|VVINF	0.0040	ankurbelte,ankurbelen,ankurbelst,ankurbelten,ankurbele,ankurbl,ankurbel,ankurbeltet,ankurbeltest,ankurbelt,angekurbelt,ankurble
anlocken|VVINF	0.0040
annehmbar|ADJX	0.0040	annehmbareren,annehmbareres,annehmbarerer,annehmbarst,annehmbarste,annehmbare,annehmbarstem,annehmbarere,annehmbares,annehmbarsten,annehmbarstes,annehmbaren,annehmbarster,annehmbarem,annehmbarer,annehmbarerem
annähern|VVINF	0.0040	angenähert,annähertet,annäherte,annähert,annähere,annähertest,annäherten,annäher,annäheren,annäherst
anpassen|VVINF	0.0040
anpassungsfähig|ADJX	0.0799	anpassungsfähigstes,anpassungsfähige,anpassungsfähigster,anpassungsfähiger,anpassungsfähiges,anpassungsfähigeres,anpassungsfähigerer,anpassungsfähigere,anpassungsfähigerem,anpassungsfähigste,anpassungsfähigeren,anpassungsfähigem,anpassungsfähigstem,anpassungsfähigsten,anpassungsfähigen,anpassungsfähigst
anreichern|VVINF	0.0040	anreichertet,anreicheren,anreicherten,anreicherst,anreichere,angereichert,anreichert,anreicher,anreichertest,anreicherte
ansehnlich|ADJX	0.0931	ansehnlicheres,ansehnlicherer,ansehnlichem,ansehnlichstes,ansehnlichster,ansehnlichst,ansehnlichste,ansehnlichstem,ansehnlichsten,ansehnlichen,ansehnlicheren,ansehnlicherem,ansehnlicher,ansehnliches,ansehnliche,ansehnlichere
ansprechend|ADJX	0.3382	ansprechende,ansprechendem,ansprechendst,ansprechenden,ansprechender,ansprechenderen,ansprechenderem,ansprechendes,ansprechendstem,ansprechendsten,ansprechenderer,ansprechendste,ansprechenderes,ansprechendster,ansprechendere,ansprechendstes
anspruchsvoll|ADJX	0.2216	anspruchsvollerem,anspruchsvollere,anspruchsvollen,anspruchsvollem,anspruchsvolleres,anspruchsvollerer,anspruchsvoller,anspruchsvollst,anspruchsvollstes,anspruchsvollster,anspruchsvolleren,anspruchsvollsten,anspruchsvolle,anspruchsvolles,anspruchsvollstem,anspruchsvollste
ansteigen|VVINF	0.0040
anständig|ADJX	0.0977	anständigere,anständiges,anständigeres,anständiger,anständigerer,anständigem,anständigen,anständigeren,anständigsten,anständigste,anständigerem,anständige,anständigstem,anständigster,anständigst,anständigstes
anteilig|ADJX	0.0040	anteiligeres,anteiligerer,anteiligerem,anteiligeren,anteiliger,anteiligere,anteiliges,anteiligen,anteiligst,anteilige,anteiligster,anteiligste,anteiligstes,anteiligem,anteiligsten,anteiligstem
anvertrauen|VVINF	0.0040	anvertrautet,anvertraust,anvertraute,anvertrau,anvertraut,anvertraue,anvertrauet,anvertrauest,anvertrautest,anvertrauten
anziehen|VVINF	0.0040
applaudieren|VVINF	0.0040	applaudieret,applaudierten,applaudierte,applaudier,applaudierest,applaudiertest,applaudiertet,applaudierst,applaudiert,applaudiere
artig|ADJX	0.225	artigst,artigstem,artigsten,artigster,artigere,artigerem,artige,artigeren,artigem,artigerer,artigstes,artigen,artigste,artigeres,artiges,artiger
atemberaubend|ADJX	0.3261	atemberaubenderen,atemberaubenderem,atemberaubendster,atemberaubenderer,atemberaubende,atemberaubendstem,atemberaubendsten,atemberaubenderes,atemberaubendere,atemberaubendstes,atemberaubendes,atemberaubender,atemberaubendste,atemberaubenden,atemberaubendst,atemberaubendem
attraktiv|ADJX	0.2162	attraktives,attraktiver,attraktivstes,attraktiveres,attraktivster,attraktiverer,attraktive,attraktivsten,attraktivst,attraktiveren,attraktivstem,attraktiverem,attraktivste,attraktivere,attraktiven,attraktivem
aufbereiten|VVINF	0.0040	aufbereitetest,aufbereitte,aufbereiteten,aufbereitten,aufbereite,aufbereitet,aufbereittest,aufbereitetet,aufbereit,aufbereitest,aufbereittet,aufbereitete
aufbessern|VVINF	0.0040	aufbessertest,aufbesserten,aufbesseren,aufbessertet,aufgebessert,aufbesserst,aufbesserte,aufbessert,aufbessere,aufbesser
aufblühen|VVINF	0.0845
auferstehen|VVINF	0.0040
aufmerksam|ADJX	0.0040	aufmerksamst,aufmerksamstem,aufmerksamsten,aufmerksamere,aufmerksame,aufmerksamster,aufmerksamstes,aufmerksames,aufmerksamer,aufmerksameres,aufmerksamerer,aufmerksamste,aufmerksameren,aufmerksamen,aufmerksamerem,aufmerksamem
aufmuntern|VVINF	0.0040	aufmunterte,aufmuntertet,aufmunterst,aufmunter,aufmunteren,aufmuntere,aufmunterten,aufmuntertest,aufmuntert,aufgemuntert
aufmunternd|ADJX	0.0040
aufrecht|ADJX	0.0040	aufrechtester,aufrechterem,aufrechtest,aufrechtestes,aufrechte,aufrechtestem,aufrechtesten,aufrechtere,aufrechtem,aufrechten,aufrechter,aufrechteren,aufrechtes,aufrechteres,aufrechterer,aufrechteste
aufrichtig|ADJX	0.0040	aufrichtigerem,aufrichtigste,aufrichtigeren,aufrichtige,aufrichtigeres,aufrichtigst,aufrichtigerer,aufrichtigster,aufrichtiger,aufrichtigstes,aufrichtiges,aufrichtigem,aufrichtigsten,aufrichtigen,aufrichtigstem,aufrichtigere
aufschwingen|VVINF	0.0040
aufsteigen|VVINF	0.0040
aufstocken|VVINF	0.0040	aufgestockt,aufstocket,aufstockest,aufstock,aufstockten,aufstocktet,aufstockst,aufstockte,aufstockt,aufstocke,aufstocktest
auftreiben|VVINF	0.0040
aufwendig|ADJX	0.0040	aufwendiger,aufwendiges,aufwendigem,aufwendigere,aufwendigstem,aufwendigen,aufwendigsten,aufwendigerer,aufwendigeres,aufwendigste,aufwendigerem,aufwendigst,aufwendigeren,aufwendige,aufwendigster,aufwendigstes
aufwerten|VVINF	0.0040	aufwerte,aufwerteten,aufwertte,aufwertest,aufgewertet,aufwertten,aufwert,aufwerttet,aufwertete,aufwerttest,aufwertet,aufwertetet,aufwertetest
aufwärts|ADV	0.0040
ausbauen|VVINF	0.0040	ausbaue,ausbaut,ausbautest,ausbauten,ausbauet,ausbaute,ausgebaut,ausbaust,ausbauest,ausbau,ausbautet
ausbilden|VVINF	0.0040	ausbildete,ausgebildet,ausbildet,ausbildte,ausbildten,ausbildeten,ausbildtet,ausbildest,ausbildetest,ausbildetet,ausbildtest,ausbilde,ausbild
ausdauern|VVINF	0.0040	ausdauere,ausgedauert,ausdauer,ausdauerten,ausdauert,ausdauerst,ausdauerte,ausdauertet,ausdauertest,ausdaueren
ausführlich|ADJX	0.0040	ausführlichem,ausführlicherer,ausführlichen,ausführliche,ausführlicher,ausführlicheres,ausführlichere,ausführliches,ausführlichster,ausführlicherem,ausführlichstem,ausführlichsten,ausführlicheren,ausführlichstes,ausführlichst,ausführlichste
ausgeflippt|ADJX	0.0756
ausgeglichen|ADJX	0.0987	ausgeglicheneres,ausgeglichner,ausgeglichenst,ausgeglichene,ausgeglichenstes,ausgeglichenem,ausgeglichnere,ausgeglichenen,ausgeglichenere,ausgeglichenster,ausgeglichneres,ausgeglichnerer,ausgeglichensten,ausgeglichener,ausgeglichenes,ausgeglichenstem,ausgeglichenste,ausgeglichneren,ausgeglichnerem,ausgeglichenerem,ausgeglicheneren,ausgeglichenerer
ausgeweitet|ADJX	0.0040
ausgewogen|ADJX	0.206	ausgewogenstes,ausgewogenere,ausgewogner,ausgewogenster,ausgewognere,ausgewognerem,ausgewogneren,ausgewogenst,ausgewognerer,ausgewogenstem,ausgewogneres,ausgewogensten,ausgewogene,ausgewogenes,ausgewogener,ausgewogenste,ausgewogenem,ausgewogenerer,ausgewogeneres,ausgewogenerem,ausgewogeneren,ausgewogenen
ausgewählt|ADJX	0.0040	ausgewähltere,ausgewähltste,ausgewähltstem,ausgewählteren,ausgewählterem,ausgewählten,ausgewähltem,ausgewählter,ausgewähltes,ausgewähltster,ausgewähltstes,ausgewählte,ausgewähltsten,ausgewählterer,ausgewähltst,ausgewählteres
ausgezeichnet|ADJX	0.3146	ausgezeichneteres,ausgezeichnetere,ausgezeichnetste,ausgezeichneterer,ausgezeichnetster,ausgezeichnetes,ausgezeichnetstes,ausgezeichneter,ausgezeichnetst,ausgezeichnetsten,ausgezeichnetem,ausgezeichnete,ausgezeichnetstem,ausgezeichneten,ausgezeichneteren,ausgezeichneterem
ausgleichen|VVINF	0.0040
auskommen|VVINF	0.0040
auskurieren|VVINF	0.0040	auskurierte,auskurierst,auskurier,auskurierten,auskuriere,auskurieret,auskurierest,auskuriert,auskuriertet,auskuriertest
ausreichen|VVINF	0.0040
ausreichend|ADJX	0.0040	ausreichenderer,ausreichenderes,ausreichenderen,ausreichenderem,ausreichendere,ausreichendst,ausreichendste,ausreichendem,ausreichende,ausreichenden,ausreichendstes,ausreichendster,ausreichender,ausreichendes,ausreichendsten,ausreichendstem
aussichtsreich|ADJX	0.0040	aussichtsreicher,aussichtsreicheren,aussichtsreichste,aussichtsreichstes,aussichtsreichster,aussichtsreichen,aussichtsreicheres,aussichtsreichem,aussichtsreicherer,aussichtsreiche,aussichtsreicherem,aussichtsreichst,aussichtsreichsten,aussichtsreiches,aussichtsreichere,aussichtsreichstem
ausweiten|VVINF	0.0040
auszeichnen|VVINF	0.0040	auszeichnetest,auszeichnet,ausgezeichnet,auszeichn,auszeichnete,auszeichnest,auszeichneten,auszeichntest,auszeichntet,auszeichne,auszeichnten,auszeichnetet,auszeichnte
authentisch|ADJX	0.1885	authentische,authentischer,authentischen,authentischem,authentischstem,authentischsten,authentischster,authentischstes,authentischerer,authentischeres,authentischste,authentischeren,authentischst,authentischerem,authentischere,authentisches
autonom|ADJX	0.0040	autonome,autonomerer,autonomer,autonomeren,autonomerem,autonomes,autonomem,autonomen,autonomeres,autonomst,autonomere,autonomste,autonomstes,autonomster,autonomsten,autonomstem
außergewöhnlich|ADJX	0.3395	außergewöhnlichstes,außergewöhnliche,außergewöhnlichere,außergewöhnlicheres,außergewöhnlichster,außergewöhnlicherer,außergewöhnlichstem,außergewöhnlichsten,außergewöhnlichste,außergewöhnlicherem,außergewöhnlicheren,außergewöhnliches,außergewöhnlicher,außergewöhnlichen,außergewöhnlichem,außergewöhnlichst
außerordentlich|ADJX	0.1137	außerordentlichsten,außerordentlichstem,außerordentlicher,außerordentliches,außerordentliche,außerordentlicherem,außerordentlicheren,außerordentlichen,außerordentlichst,außerordentlichem,außerordentlichere,außerordentlicherer,außerordentlicheres,außerordentlichste,außerordentlichstes,außerordentlichster
bahnbrechend|ADJX	0.0040	bahnbrechenden,bahnbrechendem,bahnbrechendstem,bahnbrechendere,bahnbrechende,bahnbrechendsten,bahnbrechenderem,bahnbrechenderen,bahnbrechenderer,bahnbrechenderes,bahnbrechendster,bahnbrechendstes,bahnbrechendst,bahnbrechender,bahnbrechendes,bahnbrechendste
barmherzig|ADJX	0.0744	barmherzige,barmherzigere,barmherzigstem,barmherzigsten,barmherziges,barmherziger,barmherzigste,barmherzigstes,barmherzigem,barmherzigster,barmherzigen,barmherzigerem,barmherzigeren,barmherzigerer,barmherzigeres,barmherzigst
beachtenswert|ADJX	0.0040	beachtenswertesten,beachtenswerten,beachtenswertem,beachtenswerterem,beachtenswertestem,beachtenswerteren,beachtenswertes,beachtenswerter,beachtenswerteste,beachtenswertestes,beachtenswertester,beachtenswerte,beachtenswertere,beachtenswerterer,beachtenswerteres,beachtenswertest
beachtlich|ADJX	0.0040	beachtlichstes,beachtlichster,beachtliches,beachtliche,beachtlicher,beachtlichst,beachtlichsten,beachtlicheren,beachtlicherem,beachtlichstem,beachtlichen,beachtlichste,beachtlichem,beachtlicherer,beachtlichere,beachtlicheres
beauftragen|VVINF	0.0040	beauftragten,beauftragest,beauftragt,beauftrage,beauftragtest,beauftragte,beauftrag,beauftragst,beauftragtet,beauftraget
bedarfsgerecht|ADJX	0.0040	bedarfsgerechten,bedarfsgerechtestes,bedarfsgerechtester,bedarfsgerechter,bedarfsgerechtes,bedarfsgerechtesten,bedarfsgerechtest,bedarfsgerechteste,bedarfsgerechtem,bedarfsgerechterem,bedarfsgerechteren,bedarfsgerechtere,bedarfsgerechte,bedarfsgerechtestem,bedarfsgerechterer,bedarfsgerechteres
bedarfsorientiert|ADJX	0.0040	bedarfsorientiertsten,bedarfsorientierte,bedarfsorientierterem,bedarfsorientiertes,bedarfsorientiertstem,bedarfsorientierterer,bedarfsorientierteres,bedarfsorientierteren,bedarfsorientiertere,bedarfsorientiertst,bedarfsorientierter,bedarfsorientiertster,bedarfsorientiertste,bedarfsorientiertstes,bedarfsorientiertem,bedarfsorientierten
bedarft|ADJX	0.0040	bedarftst,bedarfteren,bedarfterem,bedarften,bedarftem,bedarftere,bedarftstem,bedarftsten,bedarfter,bedarfteres,bedarfterer,bedarftster,bedarftstes,bedarftes,bedarftste,bedarfte
bedenken|VVINF	0.0040
bedeuten|VVINF	0.0040	bedeutetet,bedeute,bedeutte,bedeuttest,bedeuttet,bedeut,bedeutten,bedeutete,bedeutetest,bedeuteten,bedeutet,bedeutest
bedeutend|ADJX	0.0040	bedeutendere,bedeutenderer,bedeutenderes,bedeutendste,bedeutendst,bedeutendem,bedeutende,bedeutenden,bedeutendes,bedeutender,bedeutenderem,bedeutendsten,bedeutendstem,bedeutenderen,bedeutendstes,bedeutendster
bedeutsam|ADJX	0.0040	bedeutsamst,bedeutsamsten,bedeutsamen,bedeutsamem,bedeutsamstem,bedeutsamster,bedeutsamer,bedeutsamerer,bedeutsamstes,bedeutsameres,bedeutsame,bedeutsames,bedeutsameren,bedeutsamerem,bedeutsamere,bedeutsamste
beeindrucken|VVINF	0.2126	beeindruckten,beeindruckest,beeindruckt,beeindrucke,beeindrucktet,beeindrucktest,beeindruck,beeindruckte,beeindruckst,beeindrucket
beeindruckend|ADJX	0.3408
befreien|VVINF	0.0040	befreiten,befreist,befreite,befreit,befreie,befreiest,befrei,befreitet,befreitest,befreiet
befriedigen|VVINF	0.0809	befriedigtest,befriedigt,befriedigest,befriedig,befriedige,befriedigst,befriedigten,befriedigte,befriediget,befriedigtet
befriedigend|ADJX	0.2152	befriedigendst,befriedigendes,befriedigendstem,befriedigendsten,befriedigender,befriedigendstes,befriedigenden,befriedigendster,befriedigendem,befriedigendste,befriedigende,befriedigendere,befriedigenderem,befriedigenderen,befriedigenderer,befriedigenderes
befördern|VVINF	0.0040	befördere,beförder,beförderten,beförderen,befördertet,befördertest,beförderst,beförderte,befördert
begehrt|ADJX	0.0040	begehrtere,begehrteste,begehrtester,begehrtestes,begehrten,begehrtestem,begehrtesten,begehrtem,begehrterer,begehrtes,begehrter,begehrteres,begehrterem,begehrteren,begehrtest,begehrte
begeistern|VVINF	0.4324	begeistertest,begeistert,begeistere,begeister,begeistertet,begeisteren,begeisterst,begeisterten,begeisterte
beglückend|ADJX	0.0040
begnadet|VVINF	0.0040	begnadetste,begnadeteres,begnadeterer,begnadeteren,begnadeterem,begnadetstem,begnadetem,begnadetsten,begnadeten,begnadetst,begnadete,begnadetes,begnadetere,begnadetstes,begnadetster,begnadeter
begnadigen|VVINF	0.0040	begnadig,begnadigtet,begnadigte,begnadigst,begnadigt,begnadiget,begnadigest,begnadige,begnadigtest,begnadigten
begünstigen|VVINF	0.0040	begünstigest,begünstiget,begünstigtet,begünstigten,begünstige,begünstigt,begünstigtest,begünstigte,begünstig,begünstigst
behaglich|ADJX	0.2007	behaglichste,behaglichst,behaglichstes,behaglichem,behaglichen,behaglicherer,behaglicherem,behaglichster,behaglicheren,behaglichstem,behaglichsten,behagliche,behaglichere,behaglicheres,behaglicher,behagliches
beheben|VVINF	0.0040
beheizbar|ADJX	0.0040	beheizbarstes,beheizbarster,beheizbares,beheizbarerem,beheizbareren,beheizbarerer,beheizbareres,beheizbare,beheizbarst,beheizbarstem,beheizbarer,beheizbarste,beheizbarsten,beheizbarem,beheizbaren,beheizbarere
beherrscht|VVINF	0.4635	beherrschtem,beherrschteste,beherrschten,beherrschtes,beherrschteres,beherrschter,beherrschterer,beherrschtest,beherrschterem,beherrschteren,beherrschtester,beherrschtesten,beherrschtestem,beherrschtere,beherrschte,beherrschtestes
behutsam|ADJX	0.0040	behutsamst,behutsame,behutsamste,behutsamerer,behutsamere,behutsameres,behutsameren,behutsamerem,behutsamster,behutsamstes,behutsames,behutsamer,behutsamen,behutsamem,behutsamstem,behutsamsten
behütet|VVINF	0.0040
beilegen|VVINF	0.0040	beilegte,beilegt,beilegst,beileg,beilegtet,beilegtest,beilege,beigelegt,beilegest,beileget,beilegten
beispielhaft|ADJX	0.0040	beispielhafte,beispielhaftest,beispielhaftesten,beispielhaftestem,beispielhaften,beispielhaftem,beispielhaftester,beispielhaftestes,beispielhafter,beispielhaftes,beispielhaftere,beispielhafteren,beispielhafterem,beispielhafteres,beispielhafterer,beispielhafteste
beisteuern|VVINF	0.0040	beisteuer,beisteuerte,beisteueren,beisteuerst,beisteuertest,beigesteuert,beisteuertet,beisteuert,beisteuere,beisteuerten
beitragen|VVINF	0.0040
beitreten|VVINF	0.0040
bejubelt|ADJX	0.0040
bekannt|ADJX	0.0040	bekanntesten,bekanntere,bekanntestem,bekannte,bekanntester,bekannteste,bekanntestes,bekannter,bekanntes,bekanntest,bekanntem,bekannteren,bekannterem,bekannteres,bekannten,bekannterer
bekennend|ADJX	0.0040
bekräftigen|VVINF	0.0040	bekräftigtest,bekräftigte,bekräftigst,bekräftigt,bekräftiget,bekräftig,bekräftigtet,bekräftigten,bekräftigest,bekräftige
belastbar|ADJX	0.0040	belastbarstes,belastbaren,belastbarst,belastbarster,belastbarem,belastbare,belastbarer,belastbarstem,belastbares,belastbarsten,belastbarerem,belastbareren,belastbarerer,belastbareres,belastbarere,belastbarste
beleben|VVINF	0.0040	belebe,belebten,belebet,belebt,belebst,belebte,belebtet,belebtest,belebest,beleb
belehrbar|ADJX	0.0040	belehrbarstes,belehrbareren,belehrbarst,belehrbarerem,belehrbarerer,belehrbarster,belehrbare,belehrbarstem,belehrbarsten,belehrbareres,belehrbarere,belehrbaren,belehrbarem,belehrbarste,belehrbarer,belehrbares
beliebt|ADJX	0.2172	beliebteres,beliebten,beliebterer,beliebtes,beliebter,beliebte,beliebtest,beliebteste,beliebtestem,beliebtesten,beliebtere,beliebtestes,beliebteren,beliebtester,beliebtem,beliebterem
belohnen|VVINF	0.0893	belohntest,belohnest,belohnte,belohnst,belohntet,belohnt,belohnten,belohnet,belohne,belohn
bemerkenswert|ADJX	0.4515	bemerkenswertester,bemerkenswertest,bemerkenswerter,bemerkenswertestes,bemerkenswertesten,bemerkenswertes,bemerkenswertestem,bemerkenswerte,bemerkenswerterer,bemerkenswerteres,bemerkenswertere,bemerkenswerterem,bemerkenswerteste,bemerkenswertem,bemerkenswerteren,bemerkenswerten
beneidenswert|ADJX	0.0040	beneidenswertes,beneidenswerter,beneidenswertesten,beneidenswertere,beneidenswertestem,beneidenswertestes,beneidenswertester,beneidenswerteres,beneidenswerterer,beneidenswerteren,beneidenswerterem,beneidenswerteste,beneidenswerte,beneidenswertem,beneidenswerten,beneidenswertest
bequem|ADJX	0.2344	bequemst,bequemeres,bequemem,bequemerer,bequemste,bequemstem,bequemsten,bequemen,bequemeren,bequemerem,bequemes,bequemster,bequemer,bequemstes,bequemere,bequeme
berauschend|ADJX	0.0809	berauschendsten,berauschendere,berauschendst,berauschendster,berauschendstes,berauschenden,berauschendem,berauschenderer,berauschenderes,berauschende,berauschendste,berauschenderem,berauschendes,berauschender,berauschenderen,berauschendstem
bereichern|VVINF	0.0718	bereicher,bereichere,bereicherte,bereicherst,bereichertet,bereichertest,bereichert,bereicheren,bereicherten
bereit|ADJX	0.0040	bereitere,bereitester,bereitestes,bereite,bereiten,bereitem,bereites,bereiter,bereiterer,bereiteres,bereiteste,bereiteren,bereitestem,bereiterem,bereitest,bereitesten
bereitstellen|VVINF	0.0040	bereitstelltet,bereitstellest,bereitstell,bereitstelltest,bereitstellten,bereitstellet,bereitstellst,bereitstellte,bereitstellt,bereitgestellt,bereitstelle
beruhigen|VVINF	0.0040	beruhigte,beruhigst,beruhig,beruhiget,beruhigtet,beruhigten,beruhigtest,beruhigest,beruhigt,beruhige
beruhigend|ADJX	0.2133
berühmt|ADJX	0.3267	berühmtester,berühmtestes,berühmtes,berühmtest,berühmte,berühmtem,berühmten,berühmteren,berühmter,berühmtere,berühmteres,berühmterer,berühmteste,berühmtesten,berühmtestem,berühmterem
bescheiden|ADJX	0.0956	bescheidnere,bescheidenste,bescheidensten,bescheidenstem,bescheidner,bescheidenem,bescheidenst,bescheidenen,bescheidene,bescheideneren,bescheidneren,bescheidnerem,bescheidenerem,bescheidener,bescheidenerer,bescheidneres,bescheideneres,bescheidnerer,bescheidenes,bescheidenere,bescheidenster,bescheidenstes
beschleunigen|VVINF	0.0040	beschleunigst,beschleuniget,beschleunigtest,beschleunigte,beschleunigt,beschleunigten,beschleunigtet,beschleunig,beschleunigest,beschleunige
beschwichtigen|VVINF	0.0040	beschwichtigten,beschwichtigest,beschwichtigst,beschwichtiget,beschwichtigte,beschwichtige,beschwichtigtest,beschwichtig,beschwichtigtet,beschwichtigt
besitzen|VVINF	0.0040
besondere|ADJX	0.0040	besonderester,besonderestes,besonderee,besondereer,besonderees,besondereem,besondereen,besondereere,besondereerem,besondereeren,besonderestem,besonderesten,besondereerer,besonderest,besondereeres,besondereste
besonderer|ADJX	0.0040	besondererer,besondereres,besondereren,besonderersten,besondererem,besondererstem,besondererster,besondererst,besondererste,besondererstes,besonderere,besonderererem,besonderereren,besonderereres,besondererere,besonderererer
besonders|ADV	0.5391
besonnen|ADJX	0.0040	besonnenstes,besonnener,besonnenster,besonnenes,besonnenen,besonnensten,besonnenem,besonnenerem,besonneneren,besonnenstem,besonnenere,besonnenste,besonnenst,besonneneres,besonnene,besonnenerer
besser|ADJX	0.0040	bessererer,besserere,bessereres,bessere,besserer,besseres,besserem,besseren,bessererem,bessereren,besserste,besserster,besserstes,besserst,besserstem,bessersten
bessern|VVINF	0.0040	bessert,bessertet,bessere,gebessert,bessertest,besserten,besserte,besserst,besseren
bestehen|VVINF	0.0040
besten|ADJX	0.2291
bestens|ADV	0.0808
bestmöglich|ADJX	0.0040	bestmöglichen,bestmöglichst,bestmöglichem,bestmöglichere,bestmöglicheres,bestmöglicherer,bestmögliche,bestmöglicher,bestmöglicheren,bestmöglicherem,bestmögliches,bestmöglichste,bestmöglichstes,bestmöglichster,bestmöglichstem,bestmöglichsten
bestätigen|VVINF	0.0854	bestätiget,bestätigte,bestätigtest,bestätigtet,bestätige,bestätigt,bestätigest,bestätigten,bestätigst,bestätig
beteiligen|VVINF	0.0040	beteiligst,beteiliget,beteilig,beteiligten,beteiligte,beteiligtet,beteiligt,beteiligest,beteilige,beteiligtest
beträchtlich|ADJX	0.0040	beträchtlichstes,beträchtlichster,beträchtlicher,beträchtlicheres,beträchtliches,beträchtlichsten,beträchtlicherer,beträchtlicheren,beträchtlichere,beträchtlichstem,beträchtlichem,beträchtlicherem,beträchtlichen,beträchtliche,beträchtlichst,beträchtlichste
